         7076151 function calls (6986028 primitive calls) in 66.852 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:181(EbdtComponent)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:232(_memoize)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:233(memodict)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:26(table_E_B_D_T_)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:375(BitmapGlyph)
        2    0.000    0.000    0.000    0.000 E_B_D_T_.py:462(_createBitmapPlusMetricsMixin)
        2    0.000    0.000    0.000    0.000 E_B_D_T_.py:470(BitmapPlusMetricsMixin)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:495(BitAlignedBitmapMixin)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:583(ByteAlignedBitmapMixin)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:607(ebdt_bitmap_format_1)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:619(ebdt_bitmap_format_2)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:631(ebdt_bitmap_format_5)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:639(ebdt_bitmap_format_6)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:651(ebdt_bitmap_format_7)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:663(ComponentBitmapGlyph)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:701(ebdt_bitmap_format_8)
        1    0.000    0.000    0.000    0.000 E_B_D_T_.py:728(ebdt_bitmap_format_9)
        1    0.000    0.000    0.001    0.001 E_B_L_C_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 E_B_L_C_.py:231(Strike)
        1    0.000    0.000    0.000    0.000 E_B_L_C_.py:264(BitmapSizeTable)
        1    0.000    0.000    0.000    0.000 E_B_L_C_.py:305(SbitLineMetrics)
        1    0.000    0.000    0.000    0.000 E_B_L_C_.py:328(EblcIndexSubTable)
        2    0.000    0.000    0.000    0.000 E_B_L_C_.py:426(_createOffsetArrayIndexSubTableMixin)
        2    0.000    0.000    0.000    0.000 E_B_L_C_.py:432(OffsetArrayIndexSubTableMixin)
        1    0.000    0.000    0.000    0.000 E_B_L_C_.py:494(FixedSizeIndexSubTableMixin)
        1    0.000    0.000    0.000    0.000 E_B_L_C_.py:521(eblc_index_sub_table_1)
        1    0.000    0.000    0.000    0.000 E_B_L_C_.py:524(eblc_index_sub_table_2)
        1    0.000    0.000    0.000    0.000 E_B_L_C_.py:547(eblc_index_sub_table_3)
        1    0.000    0.000    0.000    0.000 E_B_L_C_.py:550(eblc_index_sub_table_4)
        1    0.000    0.000    0.000    0.000 E_B_L_C_.py:591(eblc_index_sub_table_5)
        1    0.000    0.000    0.000    0.000 E_B_L_C_.py:63(table_E_B_L_C_)
        1    0.000    0.000    0.001    0.001 ElementPath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:351(_SelectorContext)
        1    0.000    0.000    0.003    0.003 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1116(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1283(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1395(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1517(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1778(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
        1    0.000    0.000    0.000    0.000 G_D_E_F_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 G_D_E_F_.py:4(table_G_D_E_F_)
        1    0.000    0.000    0.000    0.000 G_P_O_S_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 G_P_O_S_.py:4(table_G_P_O_S_)
        1    0.000    0.000    0.000    0.000 G_S_U_B_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 G_S_U_B_.py:4(table_G_S_U_B_)
        1    0.000    0.000    0.000    0.000 H_V_A_R_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 H_V_A_R_.py:4(table_H_V_A_R_)
        1    0.000    0.000    0.000    0.000 M_A_T_H_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 M_A_T_H_.py:4(table_M_A_T_H_)
        1    0.000    0.000    0.000    0.000 TupleVariation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TupleVariation.py:37(TupleVariation)
        1    0.000    0.000    0.000    0.000 V_O_R_G_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 V_O_R_G_.py:117(VOriginRecord)
        1    0.000    0.000    0.000    0.000 V_O_R_G_.py:7(table_V_O_R_G_)
        1    0.000    0.000    0.000    0.000 V_V_A_R_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 V_V_A_R_.py:4(table_V_V_A_R_)
    10001    0.008    0.000    0.013    0.000 _VF.py:25(__getattr__)
        8    0.000    0.000    0.000    0.000 __future__.py:18(get_overwrite_module_params_on_conversion)
       19    0.001    0.000    0.155    0.008 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1006(MasterFinder)
        1    0.000    0.000    0.000    0.000 __init__.py:1007(CharStrings)
     5073    0.005    0.000    0.006    0.000 __init__.py:101(check_in_list)
        1    0.000    0.000    0.000    0.000 __init__.py:1056(DesignSpaceDocument)
        8    0.000    0.000    0.000    0.000 __init__.py:106(__init__)
        3    0.000    0.000    0.183    0.061 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:109(__call__)
       17    0.000    0.000    0.000    0.000 __init__.py:115(__hash__)
        2    0.000    0.000    0.000    0.000 __init__.py:1174(buildOperatorDict)
     1552    0.001    0.000    0.002    0.000 __init__.py:1180(is_interactive)
        3    0.000    0.000    0.000    0.000 __init__.py:1181(buildOpcodeDict)
       11    0.000    0.000    0.000    0.000 __init__.py:119(_weak_or_strong_ref)
        2    0.000    0.000    0.000    0.000 __init__.py:1192(buildOrder)
        2    0.000    0.000    0.000    0.000 __init__.py:1199(buildDefaults)
        3    0.000    0.000    0.000    0.000 __init__.py:1207(buildConverters)
        1    0.000    0.000    0.000    0.000 __init__.py:1214(SimpleConverter)
        1    0.000    0.000    0.000    0.000 __init__.py:1240(ASCIIConverter)
        7    0.000    0.000    0.000    0.000 __init__.py:1255(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1256(Latin1Converter)
       20    0.000    0.000    0.000    0.000 __init__.py:1261(append)
      408    0.001    0.000    0.001    0.000 __init__.py:1277(is_math_text)
     1161    0.001    0.000    0.003    0.000 __init__.py:1290(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 __init__.py:1297(NumberConverter)
        1    0.000    0.000    0.001    0.001 __init__.py:1301(_check_1d)
        3    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
       36    0.000    0.000    0.001    0.000 __init__.py:1315(getLogger)
      293    0.002    0.000    0.003    0.000 __init__.py:132(check_shape)
        1    0.000    0.000    0.000    0.000 __init__.py:1322(ArrayConverter)
        1    0.000    0.000    0.000    0.000 __init__.py:1350(TableConverter)
       36    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1369(PrivateDictConverter)
        1    0.000    0.000    0.000    0.000 __init__.py:1390(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1394(SubrsConverter)
        1    0.000    0.000    0.000    0.000 __init__.py:1409(CharStringsConverter)
       36    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1455(CharsetConverter)
    16928    0.008    0.000    0.013    0.000 __init__.py:1455(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:1516(CharsetCompiler)
      879    0.001    0.000    0.001    0.000 __init__.py:152(<genexpr>)
      274    0.000    0.000    0.000    0.000 __init__.py:1581(<lambda>)
        1    0.000    0.000    0.001    0.001 __init__.py:1588(index_of)
        1    0.000    0.000    0.000    0.000 __init__.py:161(PlistTarget)
        1    0.000    0.000    0.000    0.000 __init__.py:161(_get_version)
        1    0.000    0.000    0.000    0.000 __init__.py:162(RuleDescriptor)
       14    0.000    0.000    0.000    0.000 __init__.py:1623(safe_first_element)
        1    0.000    0.000    0.000    0.000 __init__.py:1645(sanitize_sequence)
        1    0.000    0.000    0.000    0.000 __init__.py:1651(EncodingCompiler)
     1282    0.009    0.000    0.015    0.000 __init__.py:1653(normalize_kwargs)
        1    0.000    0.000    0.000    0.000 __init__.py:1673(EncodingConverter)
     1282    0.004    0.000    0.004    0.000 __init__.py:1692(<dictcomp>)
       36    0.000    0.000    0.000    0.000 __init__.py:171(check_getitem)
        3    0.000    0.000    0.000    0.000 __init__.py:1710(getEffectiveLevel)
    16928    0.005    0.000    0.005    0.000 __init__.py:1724(isEnabledFor)
    17557    0.008    0.000    0.010    0.000 __init__.py:1761(_str_equal)
      308    0.000    0.000    0.000    0.000 __init__.py:1772(_str_lower_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:181(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:1815(FDArrayConverter)
      738    0.002    0.000    0.002    0.000 __init__.py:184(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1844(FDSelectConverter)
        1    0.000    0.000    0.000    0.000 __init__.py:1869(VarStoreConverter)
       36    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:193(caching_module_getattr)
        1    0.000    0.000    0.000    0.000 __init__.py:1940(FDSelectCompiler)
        1    0.000    0.000    0.000    0.000 __init__.py:1974(VarStoreCompiler)
     3290    0.007    0.000    0.011    0.000 __init__.py:1976(_setattr_cm)
        1    0.000    0.000    0.000    0.000 __init__.py:1996(ROSConverter)
        1    0.000    0.000    0.000    0.000 __init__.py:2021(__init__)
       36    0.000    0.000    0.001    0.000 __init__.py:2071(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:2115(addConverters)
        1    0.000    0.000    0.000    0.000 __init__.py:2137(TopDictDecompiler)
        1    0.000    0.000    0.000    0.000 __init__.py:214(<dictcomp>)
       11    0.000    0.000    0.000    0.000 __init__.py:214(connect)
        1    0.000    0.000    0.000    0.000 __init__.py:2141(PrivateDictDecompiler)
        2    0.000    0.000    0.000    0.000 __init__.py:2141(_backend_module_name)
        1    0.000    0.000    0.000    0.000 __init__.py:2145(DictCompiler)
        1    0.000    0.000    0.000    0.000 __init__.py:2150(_setup_new_guiapp)
        8    0.000    0.000    0.000    0.000 __init__.py:218(__getattr__)
       39    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
       15    0.000    0.000    0.000    0.000 __init__.py:2272(_unpack_to_numpy)
       39    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:231(InstanceDescriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:2319(TopDictCompiler)
        1    0.000    0.000    0.000    0.000 __init__.py:2380(FontDictCompiler)
        1    0.000    0.000    0.000    0.000 __init__.py:2424(PrivateDictCompiler)
        1    0.000    0.000    0.000    0.000 __init__.py:2441(BaseDict)
        1    0.000    0.000    0.000    0.000 __init__.py:2497(Options)
        1    0.000    0.000    0.000    0.000 __init__.py:2499(OptionError)
        1    0.000    0.000    0.000    0.000 __init__.py:250(disconnect)
        1    0.000    0.000    0.000    0.000 __init__.py:2500(UnknownOptionError)
        1    0.000    0.000    0.000    0.000 __init__.py:2516(TopDict)
        1    0.000    0.000    0.000    0.000 __init__.py:2613(FontDict)
        1    0.000    0.000    0.000    0.000 __init__.py:2656(Subsetter)
        1    0.000    0.000    0.000    0.000 __init__.py:2658(SubsettingError)
        1    0.000    0.000    0.000    0.000 __init__.py:2659(MissingGlyphsSubsettingError)
        1    0.000    0.000    0.000    0.000 __init__.py:2660(MissingUnicodesSubsettingError)
        1    0.000    0.000    0.000    0.000 __init__.py:2664(PrivateDict)
       28    0.000    0.000    0.000    0.000 __init__.py:269(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:2700(IndexedStrings)
     4128    0.006    0.000    0.007    0.000 __init__.py:276(process)
       38    0.000    0.000    0.002    0.000 __init__.py:280(warn_external)
    10000    0.064    0.000    0.210    0.000 __init__.py:30(_make_grads)
       14    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:339(AxisDescriptor)
      134    0.000    0.000    0.000    0.000 __init__.py:366(_add_method)
      134    0.000    0.000    0.001    0.000 __init__.py:369(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:373(CFFWriter)
        1    0.000    0.000    0.000    0.000 __init__.py:383(_uniq_sort)
        1    0.000    0.000    0.000    0.000 __init__.py:398(BaseDocWriter)
       74    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:411(to_filehandle)
        1    0.000    0.000    0.000    0.000 __init__.py:42(CFFFontSet)
        4    0.000    0.000    0.000    0.000 __init__.py:42(posixpath_property)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:434(IndexCompiler)
        2    0.000    0.000    0.002    0.001 __init__.py:46(_get_running_interactive_framework)
